Countryname, GDPPerCapita
Virgin Islands ,35938.0244
United States,60062.2223
United Kingdom,40361.4174
United Arab Emirates,40644.804
Switzerland,80449.9945
Sweden,53791.5087
Singapore,60913.7453
Qatar,59124.9324
Norway,75496.7541
New Zealand,42849.4263
Netherlands,48675.2223
China,81516.6749
Luxembourg,107627.151
Korea,31616.8434
Japan,38386.5111
Italy,32406.7203
Israel,40541.8621
Ireland,69822.3471
Iceland,71310.9393
China,46165.8565
Guam,35615.8046
Germany,44552.8194
France,38812.161
Finland,46336.6633
Denmark,57610.0982
Canada,45148.5527
Belgium,44192.623
Bahamas,32718.6381
Austria,47426.512
Australia,54027.9668
