CountryName1,GDPPerCapita20171,FemaletoMaleLaborParticipationRatio20171,Continent1
"""Afghanistan""",519.884773,28.0631557,"""Asia"""
"""Angola""",4095.81294,96.2805555,"""Africa"""
"""Albania""",4531.02081,72.1710705,"""Europe"""
"""United Arab Emirates""",40644.804,56.2098089,"""Asia"""
"""Argentina""",14613.0418,67.8793343,"""South America"""
"""Armenia""",3914.50127,71.5745416,"""Asia"""
"""Australia""",54027.9668,84.4453544,"""Europe"""
"""Austria""",47426.512,82.9182601,"""Europe"""
"""Azerbaijan""",4147.08972,90.3534323,"""Asia"""
"""Burundi""",292.997631,103.470246,"""Africa"""
"""Belgium""",44192.623,81.02319,"""Europe"""
"""Benin""",1136.59285,93.7469244,"""Africa"""
"""Burkina Faso""",734.99443,77.7221855,"""Africa"""
"""Bangladesh""",1563.9137,44.0389055,"""Asia"""
"""Bulgaria""",8334.08173,80.3235145,"""Europe"""
"""Bahrain""",23742.985,50.8675223,"""Asia"""
"""Bahamas, The""",32718.6381,83.4177792,"""North America"""
"""Bosnia and Herzegovina""",5394.59122,62.1283398,"""Europe"""
"""Belarus""",5761.74712,82.0052956,"""Europe"""
"""Belize""",4887.57721,61.2567138,"""North America"""
"""Bolivia""",3351.12404,74.6865483,"""South America"""
"""Brazil""",9925.38624,72.6548038,"""South America"""
"""Barbados""",17391.4259,89.1785811,"""North America"""
"""Brunei Darussalam""",28572.1468,80.9828649,"""Asia"""
"""Bhutan""",3286.5747,80.4044493,"""Africa"""
"""Botswana""",7893.23253,84.3991737,"""Africa"""
"""Central African Republic""",450.900245,80.4099546,"""Africa"""
"""Canada""",45148.5527,87.1694732,"""North America"""
"""Switzerland""",80449.9945,84.2496196,"""Europe"""
