TableName,GDPPerCapita2017,FemaletoMaleLaborParticipationRatio2017,Bloomberg Chart,D3 Chart
Afghanistan,519.884773,28.0631557,"[519.884773,28.0631557],","{'gdp':519.884773,'female_ratio':28.0631557},"
Angola,4095.81294,96.2805555,"[4095.81294,96.2805555],","{'gdp':4095.81294,'female_ratio':96.2805555},"
Albania,4531.02081,72.1710705,"[4531.02081,72.1710705],","{'gdp':4531.02081,'female_ratio':72.1710705},"
United Arab Emirates,40644.804,56.2098089,"[40644.804,56.2098089],","{'gdp':40644.804,'female_ratio':56.2098089},"
Argentina,14613.0418,67.8793343,"[14613.0418,67.8793343],","{'gdp':14613.0418,'female_ratio':67.8793343},"
Armenia,3914.50127,71.5745416,"[3914.50127,71.5745416],","{'gdp':3914.50127,'female_ratio':71.5745416},"
Australia,54027.9668,84.4453544,"[54027.9668,84.4453544],","{'gdp':54027.9668,'female_ratio':84.4453544},"
Austria,47426.512,82.9182601,"[47426.512,82.9182601],","{'gdp':47426.512,'female_ratio':82.9182601},"
Azerbaijan,4147.08972,90.3534323,"[4147.08972,90.3534323],","{'gdp':4147.08972,'female_ratio':90.3534323},"
Burundi,292.997631,103.470246,"[292.997631,103.470246],","{'gdp':292.997631,'female_ratio':103.470246},"
Belgium,44192.623,81.02319,"[44192.623,81.02319],","{'gdp':44192.623,'female_ratio':81.02319},"
Benin,1136.59285,93.7469244,"[1136.59285,93.7469244],","{'gdp':1136.59285,'female_ratio':93.7469244},"
Burkina Faso,734.99443,77.7221855,"[734.99443,77.7221855],","{'gdp':734.99443,'female_ratio':77.7221855},"
Bangladesh,1563.9137,44.0389055,"[1563.9137,44.0389055],","{'gdp':1563.9137,'female_ratio':44.0389055},"
Bulgaria,8334.08173,80.3235145,"[8334.08173,80.3235145],","{'gdp':8334.08173,'female_ratio':80.3235145},"
Bahrain,23742.985,50.8675223,"[23742.985,50.8675223],","{'gdp':23742.985,'female_ratio':50.8675223},"
"Bahamas, The",32718.6381,83.4177792,"[32718.6381,83.4177792],","{'gdp':32718.6381,'female_ratio':83.4177792},"
Bosnia and Herzegovina,5394.59122,62.1283398,"[5394.59122,62.1283398],","{'gdp':5394.59122,'female_ratio':62.1283398},"
Belarus,5761.74712,82.0052956,"[5761.74712,82.0052956],","{'gdp':5761.74712,'female_ratio':82.0052956},"
Belize,4887.57721,61.2567138,"[4887.57721,61.2567138],","{'gdp':4887.57721,'female_ratio':61.2567138},"
Bolivia,3351.12404,74.6865483,"[3351.12404,74.6865483],","{'gdp':3351.12404,'female_ratio':74.6865483},"
Brazil,9925.38624,72.6548038,"[9925.38624,72.6548038],","{'gdp':9925.38624,'female_ratio':72.6548038},"
Barbados,17391.4259,89.1785811,"[17391.4259,89.1785811],","{'gdp':17391.4259,'female_ratio':89.1785811},"
Brunei Darussalam,28572.1468,80.9828649,"[28572.1468,80.9828649],","{'gdp':28572.1468,'female_ratio':80.9828649},"
Bhutan,3286.5747,80.4044493,"[3286.5747,80.4044493],","{'gdp':3286.5747,'female_ratio':80.4044493},"
Botswana,7893.23253,84.3991737,"[7893.23253,84.3991737],","{'gdp':7893.23253,'female_ratio':84.3991737},"
