FemaleLaborParticipationRatio,GDPPerCapita,CountryName,FemaletoMaleLaborParticipationRatio2017,GDPPerCapita2017
28.0631557,519.884773,Afghanistan,28.0631557,519.884773
96.2805555,4095.81294,Angola,96.2805555,4095.81294
72.1710705,4531.02081,Albania,72.1710705,4531.02081
56.2098089,40644.804,United Arab Emirates,56.2098089,40644.804
67.8793343,14613.0418,Argentina,67.8793343,14613.0418
71.5745416,3914.50127,Armenia,71.5745416,3914.50127
84.4453544,54027.9668,Australia,84.4453544,54027.9668
82.9182601,47426.512,Austria,82.9182601,47426.512
90.3534323,4147.08972,Azerbaijan,90.3534323,4147.08972
103.470246,292.997631,Burundi,103.470246,292.997631
81.02319,44192.623,Belgium,81.02319,44192.623
93.7469244,1136.59285,Benin,93.7469244,1136.59285
77.7221855,734.99443,Burkina Faso,77.7221855,734.99443
44.0389055,1563.9137,Bangladesh,44.0389055,1563.9137
80.3235145,8334.08173,Bulgaria,80.3235145,8334.08173
50.8675223,23742.985,Bahrain,50.8675223,23742.985
83.4177792,32718.6381,"Bahamas, The",83.4177792,32718.6381
62.1283398,5394.59122,Bosnia and Herzegovina,62.1283398,5394.59122
82.0052956,5761.74712,Belarus,82.0052956,5761.74712
61.2567138,4887.57721,Belize,61.2567138,4887.57721
74.6865483,3351.12404,Bolivia,74.6865483,3351.12404
72.6548038,9925.38624,Brazil,72.6548038,9925.38624
89.1785811,17391.4259,Barbados,89.1785811,17391.4259
80.9828649,28572.1468,Brunei Darussalam,80.9828649,28572.1468
80.4044493,3286.5747,Bhutan,80.4044493,3286.5747
84.3991737,7893.23253,Botswana,84.3991737,7893.23253
80.4099546,450.900245,Central African Republic,80.4099546,450.900245
87.1694732,45148.5527,Canada,87.1694732,45148.5527
84.2496196,80449.9945,Switzerland,84.2496196,80449.9945
68.7793154,14999.3701,Chile,68.7793154,14999.3701
80.9200996,8879.43867,China,80.9200996,8879.43867
72.6852364,2111.02708,Côte d'Ivoire,72.6852364,2111.02708
87.5376395,1425.10782,Cameroon,87.5376395,1425.10782
91.5502678,467.074237,"Congo, Dem. Rep.",91.5502678,467.074237
94.2158552,2191.22044,"Congo, Rep.",94.2158552,2191.22044
71.2932859,6376.70672,Colombia,71.2932859,6376.70672
72.4494482,1323.81159,Comoros,72.4494482,1323.81159
77.829049,3292.64575,Cabo Verde,77.829049,3292.64575
60.7513747,11814.6266,Costa Rica,60.7513747,11814.6266
61.3507602,8541.21067,Cuba,61.3507602,8541.21067
84.9916083,26338.6943,Cyprus,84.9916083,26338.6943
76.4212259,20636.2,Czech Republic,76.4212259,20636.2
82.9722013,44552.8194,Germany,82.9722013,44552.8194
73.1125378,2914.38386,Djibouti,73.1125378,2914.38386
87.9759564,57610.0982,Denmark,87.9759564,57610.0982
65.0299885,7609.3388,Dominican Republic,65.0299885,7609.3388
21.9160267,4111.29411,Algeria,21.9160267,4111.29411
69.1095567,6213.50128,Ecuador,69.1095567,6213.50128
30.7552419,2444.29031,"Egypt, Arab Rep.",30.7552419,2444.29031
81.6572995,28170.1679,Spain,81.6572995,28170.1679
79.9658584,20458.4607,Estonia,79.9658584,20458.4607
85.0760885,768.522308,Ethiopia,85.0760885,768.522308
88.1851309,46336.6633,Finland,88.1851309,46336.6633
49.9753195,6101.03084,Fiji,49.9753195,6101.03084
83.8806545,38812.161,France,83.8806545,38812.161
70.3002056,7230.39639,Gabon,70.3002056,7230.39639
84.2174992,40361.4174,United Kingdom,84.2174992,40361.4174
71.0757108,4357.00094,Georgia,71.0757108,4357.00094
88.2814466,2025.93242,Ghana,88.2814466,2025.93242
103.23299,855.57364,Guinea,103.23299,855.57364
74.8825979,679.756914,"Gambia, The",74.8825979,679.756914
83.4137588,738.549945,Guinea-Bissau,83.4137588,738.549945
81.6852742,9667.91225,Equatorial Guinea,81.6852742,9667.91225
74.6172818,18930.2186,Greece,74.6172818,18930.2186
45.9677622,4451.45098,Guatemala,45.9677622,4451.45098
69.0241363,35615.8046,Guam,69.0241363,35615.8046
63.5407151,6124.92997,Guyana,63.5407151,6124.92997
79.7937543,46165.8565,"Hong Kong SAR, China",79.7937543,46165.8565
55.0340727,2453.7279,Honduras,55.0340727,2453.7279
77.7642729,13451.6249,Croatia,77.7642729,13451.6249
84.8753766,1294.23975,Haiti,84.8753766,1294.23975
73.8828829,14605.8543,Hungary,73.8828829,14605.8543
63.4684812,3837.65173,Indonesia,63.4684812,3837.65173
27.3957774,1981.65105,India,27.3957774,1981.65105
